periodo_parlamentario,periodo_anual,legislatura,descripcion,clean_link,file_name
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones PROVISIONALES de la sesión del 23-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/6F57D314FE6D46CC05258D2C005F2DD0/$FILE/Asis_y_vot_del_23-10-2025.pdf,a90ab077-a704-539b-96fc-d6fc91df3dbd.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votación de la sesión del 22-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1D95BAD75764116E05258D2C00081C52/$FILE/Asis_y_vot_del_22-10-2025.pdf,cf308459-8db8-5e34-9352-4c63b559b756.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votación de la sesión del 16-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F959FA145412595605258D250064D8D1/$FILE/Asis_y_vot_del_16-10-2025.pdf,ae5c634a-26b6-5ac8-9544-60ae0df44e61.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 10-10-2025 (Sesión solemne),https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/7BB69E68B23565C105258D1F00232625/$FILE/Asis_y_vot_del_10-10-2025.pdf,aaf8f003-a271-5ca0-a259-5ceca4de110b.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 9-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A11DBDA777EF9E1605258D1E0060DBC5/$FILE/Asis_y_vot_del_9-10-2025.pdf,188f59f9-9657-5b53-9e09-5f876d8177f5.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 9-10-2025 (Sesión vespertina),https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CCB5E6E9413CC79205258D1F00136975/$FILE/Asis_y_vot_del_9-10-2025_nocturna.pdf,8a7fe53a-c811-51d7-a1df-a37b41d08899.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencia de la sesión del 7-10-2025 (Sesión solemne),https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/4F9EBA29318F29E505258D1C007DB27E/$FILE/Asis_y_vot_del_7-10-2025.pdf,545ea1a4-83f0-5dd6-ab13-855b5e9600d8.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 2-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E3565D428E951EE505258D17006D4C82/$FILE/Asis_y_vot_del_2-10-2025.pdf,bb932792-fdd9-5bc9-a567-5dfe87b73d58.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 1-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F05737FD24BE5CC405258D160080AEE6/$FILE/Asis_y_vot_del_1-10-2025.pdf,7f101178-34e5-59e7-a71e-81fc62a9a2b3.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 30-9-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/2F4E18492E371F1005258D1500820D8F/$FILE/Asis_y_vot_del_30-9-2025.pdf,bdce9c4a-c601-51e3-8f1d-49a4d68df701.pdf
