;periodo_parlamentario;periodo_anual;legislatura;clean_link;file_name
0;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/37F987A79F6B29A005258C8400627A63/$FILE/Asis_y_vot_de_la_sesión_del_8-5-2025.pdf;000_pp2021_2026_pa2024_2025_leg2.pdf
1;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1D60A776511C3F5605258C82007CFF33/$FILE/Asis_y_vot_de_la_sesión_del_6-5-2025.pdf;001_pp2021_2026_pa2024_2025_leg2.pdf
2;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/67E936FA03BBE5B405258C7C00602CD0/$FILE/Asis_y_vot_de_la_sesión_del_30-4-2025.pdf;002_pp2021_2026_pa2024_2025_leg2.pdf
3;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/7C70D64D8C92E27F05258C7B0082F03D/$FILE/Asis_y_vot_de_la_sesión_del_29-4-2025.pdf;003_pp2021_2026_pa2024_2025_leg2.pdf
4;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/B64757CA10EFE9D505258C75007D1448/$FILE/Asis_y_vot_de_la_sesión_del_23-4-2025.pdf;004_pp2021_2026_pa2024_2025_leg2.pdf
5;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/FE9920EE8AD5FED605258C6E005826A1/$FILE/Asis_y_vot_de_la_sesión_del_16-4-2025.pdf;005_pp2021_2026_pa2024_2025_leg2.pdf
6;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/3614E2EB987B81FF05258C6D0078E33D/$FILE/Asis_y_vot_de_la_sesión_del_15-4-2025.pdf;006_pp2021_2026_pa2024_2025_leg2.pdf
7;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F86F7EA4B3C6DF1D05258C680060FF88/$FILE/Asis_y_vot_de_la_sesión_del_10-4-2025.pdf;007_pp2021_2026_pa2024_2025_leg2.pdf
8;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D8925F935112CABA05258C680060E08D/$FILE/Asis_y_vot_de_la_sesión_del_9-4-2025.pdf;008_pp2021_2026_pa2024_2025_leg2.pdf
9;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CF1CCC57C098DDFF05258C61005DCB6B/$FILE/Asis_y_vot_de_la_sesión_del_3-4-2025.pdf;009_pp2021_2026_pa2024_2025_leg2.pdf
10;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/FB75A5250F3F6EC705258C600079A7F3/$FILE/Asis_y_vot_de_la_sesión_del_2-4-2025.pdf;010_pp2021_2026_pa2024_2025_leg2.pdf
11;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DC2A3CF7C01D9CBA05258C54006533CF/$FILE/Asis_y_vot_de_la_sesión_del_21-3-2025.pdf;011_pp2021_2026_pa2024_2025_leg2.pdf
12;Congreso de la República - Periodo Parlamentario 2021 - 2026;Período Anual de Sesiones 2024 - 2025;Segunda Legislatura Ordinaria;https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/2D606681BA57F40905258C5300619267/$FILE/Asis_y_vot_de_la_sesión_del_20-3-2025.pdf;012_pp2021_2026_pa2024_2025_leg2.pdf
